央视频道,#genre#
江西卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225746/index.m3u8
辽宁卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225735/index.m3u8
内蒙古卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225667/index.m3u8
青海卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225727/index.m3u8
山东卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225697/index.m3u8
山东卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225738/index.m3u8
山西卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225730/index.m3u8
陕西卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225729/index.m3u8
深圳卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225700/index.m3u8
深圳卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225741/index.m3u8
四川卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225698/index.m3u8
天津卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225739/index.m3u8
西藏卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225725/index.m3u8
云南卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225664/index.m3u8
浙江卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225744/index.m3u8
重庆卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225692/index.m3u8
重庆卫视,http://39.134.115.221:8080/PLTV/88888910/224/3221225734/index.m3u8
北京纪实科教,http://39.134.115.221:8080/PLTV/88888910/224/3221225676/index.m3u8
北京卡酷,http://39.134.115.221:8080/PLTV/88888910/224/3221225677/index.m3u8
财经电视剧,http://39.134.115.221:8080/PLTV/88888910/224/3221225765/index.m3u8
财经电影,http://39.134.115.221:8080/PLTV/88888910/224/3221225766/index.m3u8
财经体育,http://39.134.115.221:8080/PLTV/88888910/224/3221225767/index.m3u8
北京卫视,http://125.40.191.58:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://125.40.191.58:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://125.40.191.58:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://125.40.191.58:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://125.40.191.58:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://125.40.191.58:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://125.40.191.58:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://125.40.191.58:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://125.40.191.58:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
河南都市,http://125.40.191.58:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://125.40.191.58:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://125.40.191.58:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://125.40.191.58:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
港台频道,#genre#
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
中天综合CTIMetro,http://198.16.64.10:8278/ctizhonghe/playlist.m3u8?tid=MB6B3888954738889547&ct=19254&tsum=d0cb922e44e8a16bea598530697c581e
中视HD,http://198.16.64.10:8278/zhongshihd_twn/playlist.m3u8?tid=MBDB6720263767202637&ct=19249&tsum=edd778f298b53c39b3b9706700032605
三立戏剧台,http://198.16.64.10:8278/sanlixiju_twn/playlist.m3u8?tid=MC3C7351075373510753&ct=19249&tsum=f70fc544635e38b2fd7b4bb39899df0e
民视HD,http://198.16.64.10:8278/ftvhd_taiwan/playlist.m3u8?tid=MC8C5908644059086440&ct=19249&tsum=c96d2cd48b11d40ca9e97fb3addb1384
美亚电影,http://198.16.64.10:8278/meiyamovie_twn/playlist.m3u8?tid=ME9E6301165163011651&ct=19249&tsum=c2c246af848b424b68e94e4b35cfa337
龙华戏剧,http://198.16.64.10:8278/lunghuaxiju_twn/playlist.m3u8?tid=MF2F2793524427935244&ct=19249&tsum=db1ef83fbbbae9a364979295fd690f7d
靖天卡通台,http://198.16.64.10:8278/jingtiancartoon_twn/playlist.m3u8?tid=MD1D2636832926368329&ct=19226&tsum=22c17cfa6920f0b4a9d45746ac25c547
靖天国际台,http://198.16.64.10:8278/jingtianintl_twn/playlist.m3u8?tid=MC7C4153806141538061&ct=19254&tsum=79854f3ccdc23693ea39da52af54d35b
华视CTSHD,http://198.16.64.10:8278/ctshd_twn/playlist.m3u8?tid=MC3C3582911835829118&ct=19249&tsum=f2c0c86801d43be647206c4ddb8e9ce6
好消息2,http://198.16.64.10:8278/good2_twn/playlist.m3u8?tid=MB3B3734070237340702&ct=19249&tsum=611b90a32eb986741a0b15652178c428
公视CTV,http://198.16.64.10:8278/ctv_taiwan/playlist.m3u8?tid=MDCD6096520560965205&ct=19249&tsum=64237c7ffa0c00b62657a938247bcab0
凤凰资讯,http://198.16.64.10:8278/phoenixinfo_hd/playlist.m3u8?tid=MB5B7253262872532628&ct=19249&tsum=e2b2dcd00f39adb64b6c03601da1e0e0
凤凰香港,http://198.16.64.10:8278/hkphoenix_twn/playlist.m3u8?tid=MD0D2495250724952507&ct=19249&tsum=b1c0a577a7f4aaa9af143d124ba24a40
凤凰卫视,http://198.16.64.10:8278/phoenixtv_hd/playlist.m3u8?tid=MF6F2163882521638825&ct=19249&tsum=2375037c2689c4190d14c8a52bc35c83
东森综合ETTVMetro,http://198.16.64.10:8278/ettvzhonghe/playlist.m3u8?tid=MC4C1214674912146749&ct=19254&tsum=9b96a50ba99dca1a02a27b05a6fb4b0d
东森洋片,http://198.16.64.10:8278/ettvwestern/playlist.m3u8?tid=MB7B8303252483032524&ct=19249&tsum=14f89967cdf6c504230be29a87cc54f0
东森戏剧,http://198.16.64.10:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7
东森财经新闻,http://198.16.64.10:8278/ettvcaijing_twn/playlist.m3u8?tid=MB8B2069463920694639&ct=19249&tsum=05ff51a1b274ce7d31d05bbf11df18ad
博斯运动2,http://198.16.64.10:8278/bosisport2_twn/playlist.m3u8?tid=ME9E7698135376981353&ct=19249&tsum=9eadcc8585f74357f09f1465844024c9
博斯高球2HD,http://198.16.64.10:8278/bosigolf2_twn/playlist.m3u8?tid=MC1C7192072371920723&ct=19249&tsum=fbea99cd84e7284f2cd3f8eab29435dc
八大综合台,http://198.16.64.10:8278/badazhonghe/playlist.m3u8?tid=MC7C4692263546922635&ct=19225&tsum=ffdc7a6397b511103e0df0b92e678790
八大综合,http://198.16.64.10:8278/badazhonghe/playlist.m3u8?tid=MCFC9951205299512052&ct=19249&tsum=dc4ca0de5e57c9f4caee0bb4e80c098a
